listing_id,price,bathrooms,bedrooms,cancellation_policy,guests_included,property_type,zipcode,star_rating,reviews_count,city,room_type
23083125,100,1,1,strict_14_with_grace_period,1,Apartment,90035,5,9,Los Angeles,Entire home
23083292,100,1,1,strict_14_with_grace_period,1,Apartment,90035,4.5,12,Los Angeles,Entire home
23084897,149,1.5,1,moderate,1,Condominium,33131,5,9,Miami,Entire home
23085319,128,1,1,strict_14_with_grace_period,1,Apartment,33133,4,9,Miami,Entire home
23085831,60,1,1,strict_14_with_grace_period,1,House,78703,4.5,18,Austin,Private room
23087037,30,1,1,moderate,1,Apartment,78741,5,20,Austin,Private room
23088339,210,1,2,flexible,4,Apartment,02125,4.5,7,Boston,Entire home
23088398,80,1,1,flexible,4,Apartment,78721,5,13,Austin,Entire home
23088453,269,1,1,strict_14_with_grace_period,1,Apartment,02113,4.5,17,Boston,Entire home
23088541,85,1,1,flexible,4,Apartment,78721,5,9,Austin,Entire home
23088694,109,1,1,strict_14_with_grace_period,1,Apartment,02113,4,17,Boston,Entire home
23088742,74,1,0,moderate,1,Apartment,90028,5,10,Los Angeles,Entire home
23090187,54,1,1,flexible,2,House,78705,5,8,Austin,Private room
23090195,209,1.5,2,moderate,1,Apartment,78701,5,6,Austin,Entire home
23090284,185,2,3,flexible,1,House,90029,4,5,Los Angeles,Entire home
23090393,60,1,1,flexible,2,Apartment,90028,4.5,19,Los Angeles,Private room
23090471,100,2,2,strict,1,Townhouse,78705,5,3,Austin,Entire home
23090857,119,1,0,strict_14_with_grace_period,2,Guesthouse,90019,5,6,Los Angeles,Entire home
23090962,29,1,1,strict,1,Serviced apartment,90028,4.5,8,Los Angeles,Shared room
23091599,99,1,1,moderate,1,Serviced apartment,33130,5,5,Miami,Private room
23091631,70,1,1,flexible,1,House,90045,4.5,10,Los Angeles,Private room
23091683,77,1,0,strict_14_with_grace_period,1,Guest suite,78702,5,22,Austin,Entire home
23091793,146,1,1,flexible,2,Apartment,90291,4.5,6,Los Angeles,Entire home
23092468,259,2,2,flexible,1,House,NULL,5,8,Los Angeles,Entire home
23092918,161,2,2,flexible,4,Apartment,90036,4.5,4,Los Angeles,Entire home
23093148,70,1,0,flexible,1,Apartment,90029,4.5,9,Los Angeles,Private room
23093303,80,1,1,flexible,2,Condominium,90057,5,15,Los Angeles,Private room
23093374,176,1,1,moderate,1,Apartment,90291,4,14,Los Angeles,Entire home
23093491,225,1,2,strict_14_with_grace_period,1,House,90291,4.5,5,Los Angeles,Entire home
23093691,149,1,2,moderate,3,House,33133,5,6,Miami,Entire home
23093747,150,1,2,strict_14_with_grace_period,5,Townhouse,90036,4.5,5,Los Angeles,Entire home
23093802,120,1,1,strict_14_with_grace_period,1,Apartment,33131,5,20,Miami,Private room
23094409,180,2.5,3,moderate,4,Apartment,90028,4.5,8,Los Angeles,Entire home
23094459,35,1,0,flexible,1,Apartment,33127,5,5,Miami,Private room
23094541,30,1,1,strict_14_with_grace_period,1,House,78758,4.5,7,Austin,Private room
23094815,130,1,1,moderate,4,Apartment,90012,5,11,Los Angeles,Entire home
23094892,29,1,1,strict_14_with_grace_period,1,House,90004,5,7,Los Angeles,Shared room
23094942,85,1,1,strict_14_with_grace_period,1,House,91356,5,3,Los Angeles,Private room
23094963,22,1,1,strict_14_with_grace_period,1,House,90006,4,13,Los Angeles,Shared room
23097851,159,2,3,moderate,6,House,33155,5,5,Miami,Entire home
23100681,325,2,2,flexible,1,House,90068,5,5,Los Angeles,Entire home
23101935,135,2.5,2,strict_14_with_grace_period,4,Townhouse,90004,5,6,Los Angeles,Entire home
23102511,99,1,1,strict_14_with_grace_period,3,Serviced apartment,90292,4.5,14,Los Angeles,Entire home
23102518,322,4,7,super_strict_60,10,House,78703,5,8,Austin,Entire home
23104080,90,1,1,flexible,1,Apartment,33131,5,6,Miami,Private room
23104445,55,1,1,flexible,1,House,33162,4.5,7,Miami,Entire home
23104458,265,2,2,strict,4,Apartment,33132,5,4,Miami,Entire home
23104553,83,2,2,strict_14_with_grace_period,4,House,78745,5,4,Austin,Entire home
23104600,49,1,1,flexible,1,House,33177,4.5,6,Miami,Private room
23105022,80,1,1,strict,1,House,33179,4.5,6,Miami,Private room
23105323,150,2,2,moderate,4,Apartment,90066,5,8,Los Angeles,Entire home
23105737,100,1,1,moderate,2,Apartment,90066,4.5,13,Los Angeles,Entire home
23106376,99,1,1,moderate,1,Condominium,90036,5,3,Los Angeles,Entire home
23106397,90,1,0,strict_14_with_grace_period,1,Serviced apartment,78701,5,5,Austin,Entire home
23106457,69,1,0,strict_14_with_grace_period,1,Apartment,90028,4.5,17,Los Angeles,Entire home
23106698,35,1,1,moderate,2,House,90019,3,5,Los Angeles,Private room
23106717,40,1,1,strict_14_with_grace_period,2,Guesthouse,91331,5,5,Los Angeles,Private room
23107370,80,1,1,moderate,2,Guest suite,90042,5,25,Los Angeles,Entire home
23107471,32,1,1,moderate,2,Apartment,78751,4.5,13,Austin,Private room
23107746,70,1,1,flexible,1,Apartment,91403,5,4,Los Angeles,Private room
23108371,56,1,1,moderate,2,House,90065,4.5,5,Los Angeles,Private room
23109018,50,1,0,strict,1,Apartment,90037,2,4,Los Angeles,Private room
23109215,59,1,1,moderate,2,Apartment,78745,5,22,Austin,Private room
23109309,100,1,1,flexible,1,Apartment,90036,4.5,4,Los Angeles,Private room
23109512,130,2,3,flexible,3,Apartment,33172,5,9,Miami,Entire home
23109699,250,1,1,moderate,4,Loft,90021,5,12,Los Angeles,Entire home
23110371,50,1,1,flexible,1,Apartment,78704,5,12,Austin,Entire home
23111015,68,1,1,flexible,1,House,90041,4,5,Los Angeles,Private room
23111073,75,1,1,moderate,1,Guest suite,91401,5,13,Los Angeles,Entire home
